importing dependencies...
importing dependencies...
[2024-01-29 15:43:41,588] importing dependencies...
[2024-01-29 15:53:27,916] epoch 6: loss: 1.3056655865963374
[2024-01-29 15:54:31,225] epoch 7: loss: 1.3054993252887903
[2024-01-29 15:55:34,185] epoch 8: loss: 1.3054045338496985
[2024-01-29 15:56:36,980] epoch 9: loss: 1.3052577303948802
[2024-01-29 15:57:40,180] epoch 10: loss: 1.3050450420825281
[2024-01-29 15:58:43,462] epoch 11: loss: 1.3048978152676163
[2024-01-29 15:59:46,827] epoch 12: loss: 1.3047472439079641
[2024-01-29 16:00:50,117] epoch 13: loss: 1.3045350068083434
[2024-01-29 16:01:53,473] epoch 14: loss: 1.3043669573614531
[2024-01-29 16:02:56,872] epoch 15: loss: 1.304004428542663
[2024-01-29 16:04:00,374] epoch 16: loss: 1.3034440212160627
[2024-01-29 16:05:03,653] epoch 17: loss: 1.3031178924524895
[2024-01-29 16:06:07,054] epoch 18: loss: 1.3028754229857542
[2024-01-29 16:07:10,343] epoch 19: loss: 1.3026992015749495
[2024-01-29 16:08:13,974] epoch 20: loss: 1.302573937121953
[2024-01-29 16:08:15,316] done
